Applicant_ID,Age,Gender,Qualification_Level,Marks_Percentage,Experience_Years,Driving,Sales,Typing,Computer,Govt_Exam_Score,English_Proficiency,Computer_Proficiency,Physical_Fitness,Predicted_Job
A029,23,Male,10th,92,10,1,1,0,0,0,5,2,4,Lab Assistant
A030,21,Male,10th,75,8,0,0,1,0,64,4,2,5,Lab Assistant
A031,36,Other,12th,66,11,0,1,1,1,0,2,5,2,Data Entry Operator
A032,33,Female,Postgrad,92,12,0,1,1,0,56,2,2,3,School Teacher
A033,18,Other,12th,88,11,1,1,0,1,0,2,2,5,Lab Assistant
A034,34,Male,Postgrad,47,8,0,0,0,1,0,5,2,1,Lab Assistant
A035,39,Female,Graduate,58,2,1,0,0,0,84,5,4,3,Customer Support
A036,32,Other,12th,70,3,0,0,1,0,66,2,4,3,Customer Support
A037,18,Other,12th,81,13,0,1,0,0,0,3,4,1,Lab Assistant
A038,33,Female,12th,46,13,0,0,1,0,0,2,3,2,Security Guard
A039,39,Female,12th,65,2,1,0,1,0,0,5,1,4,Security Guard
A040,21,Female,Diploma,61,8,0,0,1,0,74,2,4,4,Junior Engineer
A041,26,Female,12th,74,15,1,1,0,1,0,3,2,3,Lab Assistant
A042,34,Other,Postgrad,85,14,0,1,0,1,0,3,2,5,Security Guard
A043,31,Other,Diploma,89,2,0,1,0,0,0,5,1,5,Lab Assistant
A044,40,Male,12th,88,6,0,0,1,1,0,5,2,2,Clerk
A045,45,Female,Diploma,86,14,1,0,0,0,0,5,4,2,Junior Engineer
A046,44,Male,Postgrad,58,9,0,0,1,0,0,1,4,5,Sales Executive
A047,28,Female,12th,63,3,0,0,0,1,0,4,3,4,Lab Assistant
A048,19,Male,Diploma,72,9,1,1,1,0,0,2,3,2,Delivery Boy
A049,29,Female,Diploma,71,13,0,0,1,0,0,1,3,1,Security Guard
A050,28,Other,10th,77,10,0,1,0,0,82,1,4,2,Lab Assistant
A051,27,Male,Postgrad,76,15,0,1,1,1,0,5,2,3,School Teacher
A052,33,Female,10th,68,10,0,0,0,0,51,3,5,5,Lab Assistant
A053,35,Male,Graduate,57,12,1,1,0,1,0,1,1,4,Security Guard
A054,42,Other,Diploma,95,4,1,0,0,1,0,4,1,2,Customer Support
A055,21,Male,Postgrad,52,11,1,1,1,0,0,1,5,2,Delivery Boy
A056,35,Female,Postgrad,61,0,0,0,1,1,0,2,3,3,Lab Assistant
A057,32,Other,Diploma,58,15,0,0,1,0,0,2,5,4,Junior Engineer
A058,42,Male,10th,81,7,1,0,0,1,70,2,5,2,Security Guard
A059,21,Female,Graduate,59,1,0,1,1,0,88,2,2,2,Junior Engineer
A060,38,Male,12th,58,8,0,0,0,1,72,2,5,5,Security Guard
A061,40,Other,10th,95,13,1,1,0,1,0,3,4,3,Lab Assistant
A062,44,Female,10th,55,10,0,1,1,1,83,2,4,3,Lab Assistant
A063,23,Male,12th,59,12,0,1,1,1,59,1,2,1,Data Entry Operator
A064,41,Male,10th,95,6,0,1,1,1,0,4,3,5,Lab Assistant
A065,20,Female,12th,57,1,0,1,1,0,0,2,2,4,Apprentice
A066,29,Male,Diploma,80,12,1,1,1,1,0,4,2,5,Delivery Boy
A067,41,Female,Diploma,81,5,0,0,0,0,65,2,5,4,Lab Assistant
A068,36,Other,Diploma,76,4,1,1,1,1,0,2,5,3,Lab Assistant
A069,25,Other,Postgrad,71,0,1,1,1,0,0,3,1,2,Delivery Boy
A070,45,Male,Diploma,87,13,0,1,0,1,0,2,5,1,Lab Assistant
A071,20,Other,12th,51,4,0,1,0,0,0,5,4,5,Lab Assistant
A072,35,Other,12th,61,5,0,1,1,0,0,1,4,1,Lab Assistant
A073,36,Female,10th,90,9,1,0,1,1,0,2,3,5,Lab Assistant
A074,20,Other,10th,64,9,0,1,0,0,0,4,5,5,Security Guard
A075,36,Male,Postgrad,40,7,0,0,0,1,0,4,1,1,Lab Assistant
A076,36,Male,Postgrad,80,4,0,0,1,1,92,3,4,5,School Teacher
A077,44,Male,10th,54,9,1,1,0,1,0,2,2,1,Security Guard
A078,41,Other,Diploma,87,13,0,0,0,0,0,2,3,4,Lab Assistant
A079,41,Female,Graduate,61,8,1,1,1,0,0,4,5,4,Lab Assistant
A080,39,Male,Graduate,63,7,0,1,1,1,0,1,1,1,Junior Engineer
A081,21,Male,12th,52,15,1,0,0,0,82,4,3,1,Lab Assistant
A082,42,Female,Postgrad,43,5,0,1,1,1,0,2,5,3,Sales Executive
A083,30,Female,10th,94,6,1,0,1,1,0,2,1,5,Lab Assistant
A084,30,Female,12th,79,2,0,0,1,1,54,3,5,3,Clerk
A085,29,Other,Diploma,78,4,1,0,0,0,90,4,4,5,Junior Engineer
A086,44,Other,Postgrad,81,4,1,0,1,0,0,5,4,3,Customer Support
A087,43,Male,Postgrad,88,15,1,0,1,0,73,1,3,2,School Teacher
A088,29,Female,Graduate,53,14,0,0,1,0,52,1,2,5,Lab Assistant
A089,30,Male,Diploma,56,13,0,1,1,1,62,1,2,2,Junior Engineer
A090,30,Female,Graduate,45,0,0,1,0,0,0,5,2,5,Junior Engineer
A091,27,Other,Postgrad,77,4,1,0,1,1,86,2,4,4,Delivery Boy
A092,22,Other,Postgrad,88,6,1,1,0,1,0,4,4,1,School Teacher
A093,36,Other,Diploma,69,7,0,0,1,0,58,4,4,2,Lab Assistant
A094,33,Other,10th,90,6,1,1,0,0,0,3,3,2,Sales Executive
A095,26,Female,12th,88,15,1,1,1,1,0,3,1,2,Delivery Boy
A096,23,Other,10th,42,9,1,1,0,1,0,4,5,1,Lab Assistant
A097,25,Male,Postgrad,58,8,0,1,1,1,0,2,3,5,Lab Assistant
A098,44,Other,Graduate,85,12,0,1,1,1,91,1,3,4,School Teacher
A099,31,Female,Diploma,54,9,0,1,1,0,0,5,5,1,Lab Assistant
A100,27,Male,Postgrad,41,15,0,1,0,1,0,5,1,2,Lab Assistant
A101,33,Female,12th,85,0,0,0,0,1,82,1,1,2,Apprentice
A102,32,Other,Graduate,49,2,0,0,1,0,0,2,1,2,Customer Support
A103,28,Male,10th,68,15,0,0,1,0,81,3,1,3,Sales Executive
A104,28,Other,Diploma,69,8,1,1,1,1,74,2,3,2,Junior Engineer
A105,42,Male,Graduate,40,3,1,1,0,0,0,5,5,5,Security Guard
A106,19,Other,Postgrad,58,4,1,1,0,0,54,4,4,2,Lab Assistant
A107,25,Male,Postgrad,65,11,0,1,1,1,72,3,3,5,Sales Executive
A108,26,Male,12th,41,5,1,0,0,1,91,4,2,1,Delivery Boy
A109,18,Male,10th,50,13,0,0,0,1,72,1,4,2,Sales Executive
A110,45,Female,10th,50,11,1,0,1,1,0,1,3,1,Data Entry Operator
A111,44,Female,12th,41,14,0,0,0,1,87,4,5,4,Security Guard
A112,27,Other,Diploma,68,12,0,0,0,0,80,5,1,5,Sales Executive
A113,29,Other,Graduate,93,0,1,1,1,0,81,5,4,1,School Teacher
A114,38,Other,12th,79,10,0,1,1,0,0,2,5,5,Lab Assistant
A115,41,Male,Graduate,41,15,1,1,0,0,0,5,3,4,Sales Executive
A116,41,Male,Diploma,50,2,1,0,0,0,79,1,1,1,Customer Support
A117,19,Male,12th,40,14,1,0,1,0,0,2,3,4,Lab Assistant
A118,40,Female,10th,45,1,1,1,1,1,69,2,1,3,Data Entry Operator
A119,34,Male,Diploma,73,3,0,1,0,0,0,5,3,3,Security Guard
A120,28,Female,Graduate,60,4,1,1,1,1,65,1,4,4,Delivery Boy
A121,18,Other,10th,66,2,1,1,1,0,68,4,2,4,Delivery Boy
A122,19,Other,Graduate,83,14,0,0,1,0,52,5,3,2,Security Guard
A123,23,Other,12th,63,10,0,1,0,0,0,4,1,1,Lab Assistant
A124,24,Female,Diploma,92,3,0,0,1,0,0,5,1,3,Junior Engineer
A125,34,Female,10th,48,13,1,0,1,1,0,5,5,5,Sales Executive
A126,34,Female,10th,50,1,1,0,0,1,0,4,4,1,Apprentice
A127,35,Female,Postgrad,80,9,0,1,0,1,0,1,3,4,Sales Executive
A128,26,Female,12th,89,3,1,0,0,0,81,1,1,2,Delivery Boy
A129,45,Male,Postgrad,65,12,0,1,0,1,89,2,1,5,Lab Assistant
A130,36,Male,Graduate,63,9,0,1,0,0,0,4,4,2,Sales Executive
A131,37,Other,Diploma,72,3,1,0,1,0,85,1,5,5,Lab Assistant
A132,25,Other,Postgrad,62,7,0,0,0,0,0,3,3,1,Lab Assistant
A133,21,Female,Postgrad,53,0,0,0,0,1,0,5,5,4,Lab Assistant
A134,22,Male,Graduate,64,3,1,1,0,0,0,5,2,1,Delivery Boy
A135,21,Other,Graduate,49,9,1,1,0,0,0,1,3,2,Delivery Boy
A136,42,Other,Diploma,85,10,0,1,1,0,0,2,5,5,Junior Engineer
A137,38,Female,Graduate,70,8,0,1,1,0,0,1,4,4,School Teacher
A138,31,Other,10th,57,4,1,1,1,1,51,5,5,3,Lab Assistant
A139,33,Male,Diploma,70,5,1,1,1,0,84,4,1,5,Security Guard
A140,26,Female,Diploma,41,0,0,1,1,0,0,2,2,3,Lab Assistant
A141,39,Female,12th,87,2,1,1,1,1,0,1,3,3,Data Entry Operator
A142,31,Female,Graduate,52,1,0,0,0,0,76,4,5,4,Lab Assistant
A143,36,Female,10th,59,13,0,0,1,1,64,4,2,5,Data Entry Operator
A144,27,Female,Postgrad,56,11,1,0,0,1,0,1,3,5,Lab Assistant
A145,30,Male,12th,67,4,0,0,1,1,56,3,2,4,Clerk
A146,37,Other,Postgrad,42,5,0,1,1,1,0,3,1,2,Lab Assistant
A147,43,Male,Graduate,66,2,1,1,0,1,77,5,2,5,School Teacher
A148,42,Other,10th,45,9,0,1,0,1,0,2,1,3,Lab Assistant
A149,42,Female,12th,55,1,0,1,1,1,50,2,5,1,Clerk
A150,25,Other,Graduate,85,14,0,0,0,1,75,4,3,5,Sales Executive
A151,30,Female,10th,43,8,1,1,0,1,0,2,4,4,Lab Assistant
A152,35,Male,Postgrad,69,7,1,1,1,1,0,1,4,3,Sales Executive
A153,23,Other,Postgrad,59,6,1,1,1,0,0,5,5,4,Delivery Boy
A154,44,Other,10th,94,3,1,1,1,0,0,3,5,1,Lab Assistant
A155,20,Other,Graduate,89,2,1,1,0,1,0,2,5,3,School Teacher
A156,24,Female,Postgrad,70,11,1,1,1,1,0,2,3,5,School Teacher
A157,20,Other,Postgrad,74,1,1,0,1,1,86,4,3,3,Delivery Boy
A158,36,Female,12th,48,9,1,0,0,0,91,4,4,4,Lab Assistant
A159,33,Male,12th,59,0,1,0,0,1,79,2,4,5,Security Guard
A160,37,Other,10th,47,5,0,0,1,0,0,5,5,2,Lab Assistant
A161,28,Other,Graduate,47,2,0,1,1,1,0,3,3,1,Clerk
A162,28,Male,Diploma,58,14,1,1,0,0,0,3,5,1,Delivery Boy
A163,18,Other,Graduate,82,14,1,0,0,0,0,2,2,2,Delivery Boy
A164,26,Male,Graduate,66,9,0,0,1,0,73,2,5,5,Sales Executive
A165,33,Male,Graduate,56,5,0,0,1,1,87,1,4,4,Sales Executive
A166,23,Male,Diploma,50,4,1,0,1,1,0,1,5,4,Delivery Boy
A167,32,Other,Postgrad,72,13,1,1,1,0,65,5,5,4,Security Guard
A168,18,Other,Postgrad,62,7,1,0,1,1,0,3,5,3,Lab Assistant
A169,36,Other,12th,80,0,1,1,1,1,0,1,4,1,Clerk
A170,40,Female,Graduate,41,1,1,1,1,0,92,2,5,2,Junior Engineer
A171,42,Female,Diploma,94,8,1,0,0,1,0,2,2,1,Security Guard
A172,39,Other,Diploma,49,11,0,0,0,1,91,3,3,1,Junior Engineer
A173,43,Female,Graduate,75,0,1,1,1,0,64,3,4,3,Security Guard
A174,19,Male,Postgrad,85,4,0,0,0,0,0,5,2,5,School Teacher
A175,23,Female,Diploma,44,8,0,1,0,0,0,1,1,1,Lab Assistant
A176,39,Female,12th,53,9,1,0,1,1,55,4,4,3,Clerk
A177,36,Other,Postgrad,91,8,1,1,1,0,0,3,5,4,School Teacher
A178,37,Female,12th,72,2,1,1,1,1,0,1,3,4,Clerk
A179,36,Male,12th,84,4,0,1,1,0,92,1,5,3,Security Guard
A180,34,Female,Diploma,64,8,1,0,1,1,71,1,1,5,Data Entry Operator
A181,34,Male,Postgrad,83,0,0,0,0,0,76,1,1,4,School Teacher
A182,44,Male,Graduate,54,4,0,0,1,1,0,5,2,3,Data Entry Operator
A183,30,Male,Diploma,83,0,1,0,0,1,60,3,1,1,Junior Engineer
A184,21,Male,12th,77,3,1,1,0,1,92,4,2,1,Lab Assistant
A185,25,Other,Postgrad,57,13,1,0,1,0,0,3,5,4,Delivery Boy
A186,45,Male,Graduate,86,15,1,1,1,0,0,2,1,1,School Teacher
A187,40,Female,Graduate,84,6,1,1,0,0,0,5,2,3,Sales Executive
A188,18,Female,10th,56,14,1,1,0,1,63,5,2,2,Lab Assistant
A189,43,Female,Postgrad,44,5,1,0,0,0,0,1,3,1,Security Guard
A190,39,Other,10th,69,6,1,0,1,1,0,5,2,3,Lab Assistant
A191,38,Other,12th,86,13,1,0,0,0,56,3,3,1,Lab Assistant
A192,43,Female,Graduate,51,4,0,1,1,0,0,4,2,3,Customer Support
A193,44,Male,Postgrad,54,0,1,0,1,1,65,3,2,2,Lab Assistant
A194,29,Other,Diploma,57,3,1,0,1,1,0,3,1,1,Lab Assistant
A195,21,Other,12th,42,3,1,0,1,1,83,5,4,2,Clerk
A196,21,Female,12th,56,15,1,1,1,1,0,5,5,4,Clerk
A197,22,Female,Diploma,81,11,0,0,1,1,0,1,4,1,Lab Assistant
A198,29,Other,Diploma,74,14,0,0,0,1,0,5,5,4,Lab Assistant
A199,21,Female,Postgrad,74,1,0,1,1,1,88,3,4,4,School Teacher
A200,32,Other,10th,61,15,1,0,1,0,88,5,1,4,Security Guard
A201,43,Female,Diploma,55,6,0,1,1,1,63,4,2,2,Junior Engineer
A202,33,Female,12th,62,11,0,0,1,1,75,4,2,3,Data Entry Operator
A203,44,Female,12th,53,7,0,1,1,0,89,5,2,3,Security Guard
A204,23,Female,12th,76,15,1,0,1,0,95,3,3,3,Delivery Boy
A205,40,Female,Diploma,82,15,0,1,0,0,0,5,5,2,Lab Assistant
A206,38,Other,Diploma,60,10,0,1,1,1,92,5,3,4,Data Entry Operator
A207,24,Female,Graduate,86,4,0,0,0,0,0,3,3,4,School Teacher
A208,38,Female,Diploma,75,8,1,0,1,1,0,1,2,5,Data Entry Operator
A209,35,Other,10th,65,0,1,0,1,0,0,2,5,4,Apprentice
A210,20,Female,10th,87,2,0,1,1,0,90,5,3,2,Security Guard
A211,43,Male,12th,91,5,0,0,0,0,69,5,1,5,Sales Executive
A212,27,Female,Postgrad,57,13,0,1,1,0,0,2,1,1,Lab Assistant
A213,35,Female,Diploma,76,14,1,1,1,0,76,3,4,2,Security Guard
A214,25,Male,Postgrad,90,13,0,0,0,1,0,2,4,2,School Teacher
A215,45,Female,Postgrad,66,5,1,0,1,0,87,5,3,4,Sales Executive
A216,42,Other,12th,45,4,1,1,0,0,92,2,1,2,Security Guard
A217,37,Other,Diploma,69,2,1,0,0,0,63,2,4,3,Lab Assistant
A218,45,Female,10th,68,10,1,1,1,0,68,2,3,3,Security Guard
A219,41,Male,12th,77,7,0,1,1,1,0,1,1,5,Clerk
A220,32,Other,10th,88,15,1,0,0,0,52,5,2,3,Security Guard
A221,44,Male,Diploma,66,0,0,0,1,1,91,1,1,3,Data Entry Operator
A222,33,Female,Diploma,63,7,0,0,1,0,0,2,4,2,Security Guard
A223,31,Female,Graduate,74,13,0,0,0,1,70,5,4,4,Security Guard
A224,21,Male,Postgrad,45,2,0,0,1,1,0,2,2,4,Lab Assistant
A225,42,Other,Graduate,45,6,1,1,1,1,0,1,3,5,Junior Engineer
A226,43,Male,Graduate,52,1,1,0,0,0,87,4,5,1,Security Guard
A227,31,Other,Diploma,68,11,1,1,1,0,0,5,1,3,Lab Assistant
A228,25,Female,Postgrad,90,12,0,1,1,0,0,3,1,5,Security Guard
A229,24,Other,12th,86,0,1,1,0,0,0,1,4,5,Delivery Boy
A230,20,Male,Graduate,70,0,1,0,1,0,0,1,5,5,Delivery Boy
A231,39,Other,Graduate,49,10,1,1,1,1,0,5,5,2,Sales Executive
A232,32,Male,Graduate,90,11,1,1,1,0,0,4,5,2,School Teacher
A233,22,Male,Postgrad,42,11,0,0,1,1,0,3,3,4,Data Entry Operator
A234,22,Female,12th,79,8,1,1,0,1,91,4,5,1,Delivery Boy
A235,44,Male,Diploma,76,3,1,0,0,1,0,3,4,1,Lab Assistant
A236,43,Male,Graduate,41,14,1,1,0,0,0,2,1,2,Junior Engineer
A237,20,Male,10th,77,12,0,0,1,1,89,5,5,4,Lab Assistant
A238,26,Female,Diploma,59,2,1,1,0,1,0,3,2,5,Lab Assistant
A239,19,Other,10th,83,15,0,1,0,0,0,1,5,3,Security Guard
A240,45,Female,Graduate,92,7,0,1,1,1,0,2,4,4,School Teacher
A241,37,Other,10th,64,0,1,1,0,0,0,1,3,3,Apprentice
A242,19,Male,12th,49,9,0,1,0,0,58,3,3,1,Security Guard
A243,25,Male,Diploma,54,4,0,1,1,1,81,5,4,2,Lab Assistant
A244,26,Female,12th,60,9,0,1,0,0,53,2,2,2,Lab Assistant
A245,44,Female,Postgrad,40,2,1,1,0,0,0,3,2,1,Lab Assistant
A246,34,Female,12th,71,11,0,0,1,0,0,3,2,4,Sales Executive
A247,39,Male,10th,86,14,0,0,0,1,0,4,3,4,Lab Assistant
A248,21,Female,Postgrad,68,5,0,0,0,1,0,3,4,4,School Teacher
A249,37,Female,Graduate,92,3,0,0,0,0,74,2,1,2,School Teacher
A250,37,Female,12th,69,2,1,1,1,1,0,2,4,5,Clerk
A251,25,Male,Diploma,51,12,0,0,0,1,72,3,1,5,Security Guard
A252,38,Other,Diploma,95,4,1,0,1,1,0,4,2,4,Data Entry Operator
A253,28,Female,Graduate,54,10,1,1,0,0,0,2,1,5,Delivery Boy
A254,30,Other,Diploma,80,13,0,0,1,0,0,2,4,5,Sales Executive
A255,24,Other,10th,61,2,1,0,1,0,0,3,3,1,Lab Assistant
A256,39,Male,Diploma,64,4,1,1,1,1,87,3,2,2,Lab Assistant
A257,29,Other,Diploma,79,0,1,1,0,1,61,4,1,3,Lab Assistant
A258,20,Female,Graduate,82,11,1,0,1,1,0,4,2,2,School Teacher
A259,40,Male,Postgrad,45,9,0,0,1,0,0,4,4,5,Sales Executive
A260,27,Female,12th,59,9,1,1,1,1,62,2,2,3,Delivery Boy
A261,42,Male,Diploma,61,7,1,1,1,0,0,1,4,3,Security Guard
A262,30,Male,Diploma,48,9,1,0,0,0,87,1,2,5,Security Guard
A263,29,Female,Graduate,95,8,0,1,1,0,60,3,3,3,Sales Executive
A264,18,Male,12th,46,10,0,1,1,0,0,4,3,3,Lab Assistant
A265,39,Male,Postgrad,45,10,0,0,0,1,94,4,1,3,Lab Assistant
A266,18,Female,12th,56,13,1,0,1,1,50,5,2,2,Delivery Boy
A267,29,Other,12th,59,4,1,1,1,1,78,5,2,5,Delivery Boy
A268,43,Male,Diploma,57,7,1,0,0,0,66,5,4,2,Junior Engineer
A269,31,Male,Diploma,72,5,1,1,1,1,52,4,4,3,Lab Assistant
A270,31,Other,Graduate,92,4,0,1,0,1,0,1,1,2,School Teacher
A271,32,Other,Graduate,80,11,0,1,1,0,82,3,3,5,School Teacher
A272,18,Other,10th,72,7,0,1,0,0,72,4,4,2,Lab Assistant
A273,34,Male,Graduate,58,11,1,1,1,0,0,4,4,4,Junior Engineer
A274,24,Female,12th,54,7,1,1,0,1,0,1,1,4,Lab Assistant
A275,43,Female,10th,86,4,1,0,0,0,52,3,4,1,Customer Support
A276,32,Female,10th,79,11,1,0,0,1,92,1,2,3,Lab Assistant
A277,34,Other,Graduate,63,3,0,1,1,0,92,1,2,4,Lab Assistant
A278,20,Other,10th,49,8,0,0,1,0,0,4,2,4,Security Guard
A279,45,Female,10th,70,4,0,1,1,1,0,2,1,3,Lab Assistant
A280,23,Female,Graduate,91,11,1,1,0,0,0,3,4,2,Delivery Boy
A281,20,Other,12th,91,8,0,0,1,0,0,3,1,4,Security Guard
A282,42,Female,10th,63,2,0,0,1,1,0,3,4,3,Lab Assistant
A283,23,Female,Graduate,49,0,1,0,0,1,72,5,5,3,Lab Assistant
A284,35,Female,Diploma,48,2,0,1,1,0,0,5,3,4,Customer Support
A285,36,Other,Postgrad,80,6,0,0,0,1,0,1,5,4,School Teacher
A286,41,Male,Graduate,88,5,1,1,1,0,0,2,4,4,School Teacher
A287,32,Male,10th,43,5,1,0,0,1,0,1,2,2,Security Guard
A288,25,Female,Diploma,74,11,0,0,1,0,95,1,2,3,Sales Executive
A289,20,Other,12th,68,4,0,1,0,1,0,3,3,1,Security Guard
A290,33,Other,12th,82,15,0,0,0,1,0,1,1,3,Security Guard
A291,33,Male,Diploma,43,7,0,0,1,1,0,4,1,5,Lab Assistant
A292,18,Other,Graduate,71,0,1,0,0,0,0,4,3,3,Delivery Boy
A293,30,Female,Postgrad,52,2,0,0,0,1,0,1,4,3,Lab Assistant
A294,38,Other,Graduate,91,5,0,0,1,1,0,4,5,5,School Teacher
A295,22,Female,12th,52,2,0,1,0,1,53,4,2,5,Security Guard
A296,28,Female,Diploma,74,5,0,0,1,0,0,2,3,4,Junior Engineer
A297,44,Female,10th,83,3,0,1,1,1,85,4,5,5,Lab Assistant
A298,27,Other,12th,93,9,0,0,0,1,67,4,1,5,Lab Assistant
A299,27,Other,Graduate,65,2,1,1,0,1,0,5,3,2,Lab Assistant
A300,32,Female,12th,82,12,1,0,1,1,81,3,1,5,Clerk
A301,36,Female,12th,41,0,0,0,0,1,0,3,5,1,Security Guard
A302,30,Female,10th,90,1,1,0,1,1,66,2,5,3,Apprentice
A303,31,Other,Postgrad,47,11,1,0,0,1,51,2,4,5,Lab Assistant
A304,32,Other,Postgrad,47,14,1,0,1,0,81,3,2,4,Lab Assistant
A305,27,Female,Diploma,43,12,1,1,1,0,63,5,4,1,Junior Engineer
A306,24,Female,12th,68,8,0,1,0,1,93,3,1,4,Sales Executive
A307,19,Male,Diploma,54,6,1,1,1,0,53,1,4,3,Delivery Boy
A308,22,Male,Postgrad,95,6,1,1,1,0,0,4,1,4,Delivery Boy
A309,41,Female,Diploma,61,10,1,1,1,1,0,4,3,2,Sales Executive
A310,27,Male,10th,59,9,0,0,0,1,0,4,3,4,Lab Assistant
A311,37,Female,10th,94,3,0,0,1,1,82,2,5,3,Lab Assistant
A312,45,Female,Graduate,93,9,0,0,1,0,50,5,1,2,School Teacher
A313,42,Male,12th,67,12,0,1,1,1,0,1,1,4,Clerk
A314,31,Other,Postgrad,68,15,0,1,0,1,0,4,3,4,School Teacher
A315,26,Female,Diploma,61,11,1,1,0,1,0,3,3,2,Junior Engineer
A316,28,Male,12th,81,13,1,0,0,1,0,2,5,1,Delivery Boy
A317,45,Male,Postgrad,89,4,1,0,1,1,0,2,3,4,School Teacher
A318,26,Male,10th,64,9,0,0,1,0,0,1,1,1,Lab Assistant
A319,30,Other,Graduate,49,13,1,0,1,0,82,4,5,5,Junior Engineer
A320,30,Female,Postgrad,73,0,0,1,0,1,79,3,1,4,Security Guard
A321,36,Female,Graduate,78,4,1,0,0,1,0,5,3,5,School Teacher
A322,44,Other,Postgrad,43,5,1,0,1,1,81,1,1,4,Lab Assistant
A323,29,Other,Graduate,69,14,1,1,0,1,0,5,1,3,Delivery Boy
A324,33,Female,Diploma,84,3,0,1,0,0,79,3,3,1,Security Guard
A325,23,Female,10th,85,11,1,1,1,1,0,4,1,4,Delivery Boy
A326,40,Other,Postgrad,88,5,1,0,0,0,0,5,1,4,Security Guard
A327,24,Male,Diploma,61,2,1,1,1,0,60,1,2,5,Delivery Boy
A328,30,Male,12th,54,13,0,1,0,1,56,1,3,5,Lab Assistant
A329,34,Male,12th,61,12,1,1,0,0,86,4,2,5,Lab Assistant
A330,29,Female,Postgrad,72,4,0,1,1,0,0,4,2,3,Security Guard
A331,20,Other,Postgrad,45,0,0,1,1,0,0,3,2,1,Security Guard
A332,19,Female,10th,91,13,0,1,1,0,0,3,1,4,Security Guard
A333,28,Female,Postgrad,93,11,0,1,0,1,52,2,3,1,Sales Executive
A334,30,Other,Diploma,50,15,0,0,0,1,60,4,2,4,Security Guard
A335,42,Other,Diploma,85,11,1,1,1,0,0,2,4,1,Sales Executive
A336,39,Male,Graduate,60,14,1,1,1,0,94,5,3,4,Security Guard
A337,29,Other,10th,53,3,1,0,1,1,0,4,2,5,Delivery Boy
A338,42,Male,Diploma,66,2,1,0,0,1,0,1,2,4,Security Guard
A339,41,Other,Graduate,61,8,0,1,0,1,0,3,4,4,Sales Executive
A340,31,Other,Graduate,77,15,0,0,1,1,0,4,3,4,School Teacher
A341,33,Female,10th,86,4,0,0,1,0,0,4,5,2,Lab Assistant
A342,34,Male,Diploma,88,2,0,1,0,0,0,1,5,5,Security Guard
A343,28,Male,12th,87,0,1,0,0,0,0,3,4,2,Delivery Boy
A344,25,Other,12th,60,0,1,1,1,1,68,5,5,4,Clerk
A345,27,Female,Diploma,90,9,0,1,0,0,63,3,2,5,Security Guard
A346,42,Female,12th,61,0,1,0,1,1,62,3,5,5,Clerk
A347,39,Male,Diploma,65,11,0,1,1,0,0,2,1,1,Sales Executive
A348,22,Female,10th,87,15,1,0,1,0,92,1,3,5,Delivery Boy
